id,latitude,longitude,ndvi,bsi,ndwi,savi,evi,land_surface_temp,soil_moisture,land_class
1,22.5726,88.3639,0.72,-0.21,0.35,0.68,0.55,28.5,0.42,Vegetation
2,23.3441,85.3096,0.15,0.48,-0.12,0.18,0.10,35.2,0.18,Bare Soil
3,19.0760,72.8777,0.05,0.62,-0.25,0.08,0.04,38.7,0.10,Built-up
4,21.1458,79.0882,0.65,-0.18,0.30,0.60,0.50,29.1,0.40,Vegetation
5,25.3176,82.9739,0.12,0.55,-0.10,0.15,0.09,36.5,0.15,Bare Soil
6,26.9124,75.7873,0.08,0.60,-0.22,0.10,0.06,39.0,0.12,Built-up
7,11.0168,76.9558,0.78,-0.30,0.40,0.72,0.60,26.8,0.50,Vegetation
8,15.2993,74.1240,0.20,0.45,-0.05,0.22,0.15,34.0,0.20,Bare Soil
9,17.3850,78.4867,0.10,0.58,-0.20,0.12,0.08,37.5,0.14,Built-up
10,13.0827,80.2707,0.68,-0.25,0.32,0.64,0.52,30.2,0.38,Vegetation
